university_name,state,program_type
OLUSEGUN AGAGU UNIVERSITY OF SCIENCE AND TECHNOLOGY OKITIPUPA ONDO STATE,ONDO,STATE UNIVERSITIES OF TECHNOLOGY
GOMBE STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY KUMO GOMBE STATE,GOMBE,STATE UNIVERSITIES OF TECHNOLOGY
LADOKE AKINTOLA UNIVERSITY OF TECHNOLOGY OGBOMOSO OYO STATE,OYO,STATE UNIVERSITIES OF TECHNOLOGY
DELTA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY OZORO DELTA STATE,DELTA,STATE UNIVERSITIES OF TECHNOLOGY
KEBBI STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY ALIERO KEBBI STATE,KEBBI,STATE UNIVERSITIES OF TECHNOLOGY
RIVERS STATE UNIVERSITY PORT HARCOURT RIVERS STATE,RIVERS,STATE UNIVERSITIES OF TECHNOLOGY
ENUGU STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY ENUGU ENUGU STATE,ENUGU,STATE UNIVERSITIES OF TECHNOLOGY
CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY OSARA KOGI STATE,KOGI,STATE UNIVERSITIES OF TECHNOLOGY
LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY IKORODU LAGOS STATE,LAGOS,STATE UNIVERSITIES OF TECHNOLOGY
KHADIJA UNIVERSITY MAJIA JIGAWA STATE,JIGAWA,PRIVATE UNIVERSITIES
MARANATHA UNIVERSITY IBEJU LEKKI LAGOS STATE,LAGOS,PRIVATE UNIVERSITIES
PAN ATLANTIC UNIVERSITY KM 52 LEKKI EPE EXPRESSWAY IBEJU LEKKI LAGOS STATE,LAGOS,PRIVATE UNIVERSITIES
TRINITY UNIVERSITY YABA LAGOS STATE,LAGOS,PRIVATE UNIVERSITIES
ANCHOR UNIVERSITY AYOBO LAGOS STATE,LAGOS,PRIVATE UNIVERSITIES
CALEB UNIVERSITY IMOTA LAGOS STATE,LAGOS,PRIVATE UNIVERSITIES
EKO UNIVERSITY OF MEDICINE AND HEALTH SCIENCE IJANIKIN LAGOS STATE,LAGOS,PRIVATE UNIVERSITIES
AUGUSTINE UNIVERSITY ILARA LAGOS LAGOS STATE,LAGOS,PRIVATE UNIVERSITIES
UNIVERSITY OF OFFA OFFA KWARA STATE,KWARA,PRIVATE UNIVERSITIES
LANDMARK UNIVERSITY OMU ARAN KWARA STATE,KWARA,PRIVATE UNIVERSITIES
MUHAMMAD KAMALUD DEEN UNIVERSITY ILORIN KWARA STATE,KWARA,PRIVATE UNIVERSITIES
SUMMIT UNIVERITY OFFA KWARA STATE,KWARA,PRIVATE UNIVERSITIES
AL HIKMAH UNIVERSITY ILORIN KWARA STATE,KWARA,PRIVATE UNIVERSITIES
THOMAS ADEWUMI UNIVERSITY OKO IRESE KWARA STATE,KWARA,PRIVATE UNIVERSITIES
OJAJA UNIVERSITY EYENKORIN ILORIN KWARA STATE,KWARA,PRIVATE UNIVERSITIES
AHMAN PATEGI UNIVERSITY PATIGI KWARA STATE,KWARA,PRIVATE UNIVERSITIES
HEZEKIAH UNIVERSITY UMUDI IMO STATE,IMO,PRIVATE UNIVERSITIES
KINGSLEY OZUMBA K.O MBADIWE UNIVERSITY OGBOKO IMO STATE,IMO,PRIVATE UNIVERSITIES
CLARETIAN UNIVERSITY NEKEDE IMO STATE,IMO,PRIVATE UNIVERSITIES
PAMO UNIVERSITY OF MEDICAL SCIENCE PORT HARCOURT RIVERS STATE,RIVERS,PRIVATE UNIVERSITIES
WIGWE UNIVERSITY ISIOKPO RIVERS STATE,RIVERS,PRIVATE UNIVERSITIES
MADONNA UNIVERSITY ELELE RIVERS STATE,RIVERS,PRIVATE UNIVERSITIES
JOSEPH AYO BABALOLA UNIVERSITY IKEJI ARAKEJI OSUN STATE,OSUN,PRIVATE UNIVERSITIES
ODUDUWA UNIVERSITY IPETUMODU OSUN STATE,OSUN,PRIVATE UNIVERSITIES
WESTLAND UNIVERSITY IWO OSUN STATE,OSUN,PRIVATE UNIVERSITIES
ADELEKE UNIVERSITY EDE OSUN STATE,OSUN,PRIVATE UNIVERSITIES
KINGS UNIVERSITY ODE OMU OSUN STATE,OSUN,PRIVATE UNIVERSITIES
BOWEN UNIVERSITY IWO OSUN STATE,OSUN,PRIVATE UNIVERSITIES
MERCY MEDICAL UNIVERSITY IWO OSUN STATE,OSUN,PRIVATE UNIVERSITIES
FOUNTAIN UNIVERSITY OSOGBO OSUN STATE,OSUN,PRIVATE UNIVERSITIES
REDEEMERS UNIVERSITY EDE OSUN STATE,OSUN,PRIVATE UNIVERSITIES
MEWAR UNIVERSITY NIGERIA MASAKA NASARAWA STATE,NASARAWA,PRIVATE UNIVERSITIES
AVE MARIA UNIVERSITY PIYANKO NASARAWA STATE,NASARAWA,PRIVATE UNIVERSITIES
PHOENIX UNIVERSITY AGWADA NASARAWA STATE,NASARAWA,PRIVATE UNIVERSITIES
BINGHAM UNIVERSITY KARU NASARAWA STATE,NASARAWA,PRIVATE UNIVERSITIES
HALLMARK UNIVERSITYIJEBU ITELEOGUN STATE,OGUN,PRIVATE UNIVERSITIES
SOUTHWESTERN UNIVERSITY OKUN OWA OGUN STATE,OGUN,PRIVATE UNIVERSITIES
MOUNTAIN TOP UNIVERSITY MAKOGI OBA OGUN STATE,OGUN,PRIVATE UNIVERSITIES
CRAWFORD UNIVERSITY IGBESA OGUN STATE,OGUN,PRIVATE UNIVERSITIES
CRESCENT UNIVERSITY ABEOKUTA OGUN STATE,OGUN,PRIVATE UNIVERSITIES
BABCOCK UNIVERSITY ILISHAN REMO OGUN STATE,OGUN,PRIVATE UNIVERSITIES
VISION UNIVERSITY ADO ODO IKOGBO TOWN OGUN STATE,OGUN,PRIVATE UNIVERSITIES
CHRISTOPHER UNIVERSITY MOWE OGUN STATE,OGUN,PRIVATE UNIVERSITIES
BELLS UNIVERSITY OF TECHNOLOGY OTA OGUN STATE,OGUN,PRIVATE UNIVERSITIES
ALETHEIA UNIVERSITY AGO IWOYE OGUN STATE,OGUN,PRIVATE UNIVERSITIES
CHRISLAND UNIVERSITY OWODE OGUN STATE,OGUN,PRIVATE UNIVERSITIES
McPHERSON UNIVERSITY SERIKI SOTAYO OGUN STATE,OGUN,PRIVATE UNIVERSITIES
COVENANT UNIVERSITY CANAANLAND OTA OGUN STATE,OGUN,PRIVATE UNIVERSITIES
GERAR UNIVERSITY OF MEDICAL SCIENCES IMOPE ODE OGUN STATE,OGUN,PRIVATE UNIVERSITIES
MADUKA UNIVERSITY EKWEGBE NSUKKA ENUGU STATE,ENUGU,PRIVATE UNIVERSITIES
COAL CITY UNIVERSITY ENUGU ENUGU STATE,ENUGU,PRIVATE UNIVERSITIES
RENAISSANCE UNIVERSITY OJIAGU AGBANI ENUGU ENUGU STATE,ENUGU,PRIVATE UNIVERSITIES
CARITAS UNIVERSITY AMORJI NIKE ENUGU ENUGU STATE,ENUGU,PRIVATE UNIVERSITIES
PEACELAND UNIVERSITY ENUGU ENUGU STATE,ENUGU,PRIVATE UNIVERSITIES
GODFREY OKOYE UNIVERSITY URGWUOMU NIKE ENUGU STATE,ENUGU,PRIVATE UNIVERSITIES
KHALIFA ISYAKU RABIU UNIVERSITY GADON KAYA CITY GATE KANO KANO STATE,KANO,PRIVATE UNIVERSITIES
SKYLINE UNIVERSITY NIGERIA KANO KANO STATE,KANO,PRIVATE UNIVERSITIES
AZMAN UNIVERSITY KANO KANO STATE,KANO,PRIVATE UNIVERSITIES
MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA KANO KANO STATE,KANO,PRIVATE UNIVERSITIES
CAPITAL CITY UNIVERSITY WARAWA KANO KANO STATE,KANO,PRIVATE UNIVERSITIES
AL ISTIQAMA UNIVERSITY SUMAILA KANO STATE,KANO,PRIVATE UNIVERSITIES
BABA AHMED UNIVERSITY KANO KANO STATE,KANO,PRIVATE UNIVERSITIES
NEWGATE UNIVERSITY MINNA NIGER STATE,NIGER,PRIVATE UNIVERSITIES
EDUSOKO UNIVERSITY BIDA NIGER STATE,NIGER,PRIVATE UNIVERSITIES
EL AMIN UNIVERSITY MINNA NIGER STATE,NIGER,PRIVATE UNIVERSITIES
SALEM UNIVERSITY LOKOJA KOGI STATE,KOGI,PRIVATE UNIVERSITIES
NORTHWEST UNIVERSITY SOKOTO SOKOTO STATE,SOKOTO,PRIVATE UNIVERSITIES
SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY SOKOTO SOKOTO STATE,SOKOTO,PRIVATE UNIVERSITIES
DAGAMA'S COLLEGE OF HEALTH SCIENCE AND TECH. SABON GARI ZARIA KADUNA STATE,KADUNA,PRIVATE UNIVERSITIES
GREENFIELD UNIVERSITY KASARAMI KADUNA STATE,KADUNA,PRIVATE UNIVERSITIES
FRANCO BRITISH INTERNATIONAL UNIVERSITY KADUNA KADUNA STATE,KADUNA,PRIVATE UNIVERSITIES
NOK UNIVERSITY KACHIA KADUNA STATE,KADUNA,PRIVATE UNIVERSITIES
AMERICAN UNIVERSITY OF NIGERIA YOLA ADAMAWA STATE,ADAMAWA,PRIVATE UNIVERSITIES
MICHAEL AND CECILIA IBRU UNIVERSITY OWHRODE DELTA STATE,DELTA,PRIVATE UNIVERSITIES
SPORTS UNIVERSITY IDUMUJE UGBOKO DELTA STATE,DELTA,PRIVATE UNIVERSITIES
NOVENA UNIVERSITY OGUME DELTA STATE,DELTA,PRIVATE UNIVERSITIES
MARGARET LAWRENCE UNIVERSITY GALILEE DELTA STATE,DELTA,PRIVATE UNIVERSITIES
WESTERN DELTA UNIVERSITY OGHARA DELTA STATE,DELTA,PRIVATE UNIVERSITIES
EDWIN CLARK UNIVERSITY KIAGBODO DELTA STATE,DELTA,PRIVATE UNIVERSITIES
ADMIRALTY UNIVERSITY OF NIGERIA IBUSA DELTA STATE,DELTA,PRIVATE UNIVERSITIES
NBU,UNKNOWN,PRIVATE UNIVERSITIES
NIGERIAN UNIVERSITY OF TECHNOLOGY AND MANAGEMENT VICTORIA ISLAND LAGOS,LAGOS,PRIVATE UNIVERSITIES
VENITE UNIVERSITY IKORO EKITI EKITI STATE,EKITI,PRIVATE UNIVERSITIES
HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY OKEMESI EKITI EKITI STATE,EKITI,PRIVATE UNIVERSITIES
AFE BABALOLA UNIVERSITY ADO EKITI EKITI STATE,EKITI,PRIVATE UNIVERSITIES
SPIRITAN UNIVERSITY NNEOCHI ABIA STATE,ABIA,PRIVATE UNIVERSITIES
GREGORY UNIVERSITY UTURU ABIA STATE,ABIA,PRIVATE UNIVERSITIES
RHEMA UNIVERSITY ABA ABIA STATE,ABIA,PRIVATE UNIVERSITIES
NIGERIAN BRITISH UNIVERSITY ASA ABIA STATE,ABIA,PRIVATE UNIVERSITIES
LUX MUNDI UNIVERSITY IBEKU UMUAHIA ABIA STATE,ABIA,PRIVATE UNIVERSITIES
CLIFFORD UNIVERSITY OWERRINTTA ABIA STATE,ABIA,PRIVATE UNIVERSITIES
KARL KUMM UNIVERSITY VOM PLATEAU STATE,PLATEAU,PRIVATE UNIVERSITIES
PHILOMATH UNIVERSITY KUJE ABUJA FCT,"FCT, ABUJA",PRIVATE UNIVERSITIES
NILE UNIVERSITY OF NIGERIA ABUJA FCT,"FCT, ABUJA",PRIVATE UNIVERSITIES
AFRICAN UNIVERSITY OF SCIENCE AND TECHNOLOGY GARKI FCT ABUJA,"FCT, ABUJA",PRIVATE UNIVERSITIES
BAZE UNIVERSITY ABUJA FCT,"FCT, ABUJA",PRIVATE UNIVERSITIES
COSMOPOLITAN UNIVERSITY FCT ABUJA,"FCT, ABUJA",PRIVATE UNIVERSITIES
CANADIAN UNIVERSITY OF NIGERIA ABUJA,"FCT, ABUJA",PRIVATE UNIVERSITIES
EUROPEAN UNIVERSITY OF NIGERIA DUBOYI ABUJA FCT,"FCT, ABUJA",PRIVATE UNIVERSITIES
VERITAS UNIVERSITY BWARI ABUJA FCT,"FCT, ABUJA",PRIVATE UNIVERSITIES
PRIME UNIVERSITY KUJE ABUJA,"FCT, ABUJA",PRIVATE UNIVERSITIES
IGBINEDION UNIVERSITY OKADA BENIN CITY EDO STATE,EDO,PRIVATE UNIVERSITIES
MUDIAME UNIVERSITY IRRUA EDO STATE,EDO,PRIVATE UNIVERSITIES
SAMUEL ADEGBOYEGA UNIVERSITY OGWA EDO STATE,EDO,PRIVATE UNIVERSITIES
WELLSPRING UNIVERSITY IRHIHI OGBANEKI BENIN CITY EDO STATE,EDO,PRIVATE UNIVERSITIES
BENSON IDAHOSA UNIVERSITY BENIN CITY EDO STATE,EDO,PRIVATE UNIVERSITIES
TANSIAN UNIVERSITY OBA ANAMBRA STATE,ANAMBRA,PRIVATE UNIVERSITIES
UNIVERSITY ON THE NIGER UMUNYA ANAMBRA STATE,ANAMBRA,PRIVATE UNIVERSITIES
PETER UNIVERSITY ACHINA ONNEH ANAMBRA STATE,ANAMBRA,PRIVATE UNIVERSITIES
PAUL UNIVERSITY AWKA ANAMBRA STATE,ANAMBRA,PRIVATE UNIVERSITIES
LEGACY UNIVERSITY OKIJA ANAMBRA STATE,ANAMBRA,PRIVATE UNIVERSITIES
DOMINICAN UNIVERSITY IBADAN OYO STATE,OYO,PRIVATE UNIVERSITIES
KOLADAISI UNIVERSITY IBADAN OYO STATE,OYO,PRIVATE UNIVERSITIES
DOMINION UNIVERSITY IBADAN OYO STATE,OYO,PRIVATE UNIVERSITIES
ATIBA UNIVERSITY OYO OYO STATE,OYO,PRIVATE UNIVERSITIES
PRECIOUS CORNERSTONE UNIVERSITY IBADAN OYO STATE,OYO,PRIVATE UNIVERSITIES
LEAD CITY UNIVERSITY IBADAN OYO STATE,OYO,PRIVATE UNIVERSITIES
AJAYI CROWTHER UNIVERSITY OYO OYO STATE,OYO,PRIVATE UNIVERSITIES
UNIVERSITY OF MKAR GBOKO BENUE STATE,BENUE,PRIVATE UNIVERSITIES
ELIZADE UNIVERSITY ILARA MOKIN ONDO STATE,ONDO,PRIVATE UNIVERSITIES
SAM MARIS UNIVERSITY SUPARE AKOKO ONDO STATE,ONDO,PRIVATE UNIVERSITIES
WESLEY UNIVERSITY ONDO ONDO STATE,ONDO,PRIVATE UNIVERSITIES
ACHIEVERS UNIVERSITY OWO ONDO STATE,ONDO,PRIVATE UNIVERSITIES
HAVILLA UNIVERSITY NDE IKOM CROSS RIVER STATE,CROSS RIVER,PRIVATE UNIVERSITIES
BRITISH CANADIAN UNIVERSITY KAKUM OBUDU CROSS RIVER STATE,CROSS RIVER,PRIVATE UNIVERSITIES
ARTHUR JARVIS UNIVERSITY AKPABUYO CROSS RIVER STATE,CROSS RIVER,PRIVATE UNIVERSITIES
HENSARD UNIVERSITY TORU ORUA BAYELSA STATE,BAYELSA,PRIVATE UNIVERSITIES
TOPFAITH UNIVERSITY MKPATAK AKWA IBOM STATE,AKWA IBOM,PRIVATE UNIVERSITIES
OBONG UNIVERSITY OBONG NTAK AKWA IBOM STATE,AKWA IBOM,PRIVATE UNIVERSITIES
RITMAN UNIVERSITY IKOT EKPENE AKWA IBOM STATE,AKWA IBOM,PRIVATE UNIVERSITIES
JEWEL UNIVERSITY GOMBE GOMBE STATE,GOMBE,PRIVATE UNIVERSITIES
PEN RESOURCE UNIVERSITY GOMBE GOMBE STATE,GOMBE,PRIVATE UNIVERSITIES
HUDA UNIVERSITY GUSAU ZAMFARA STATE,ZAMFARA,PRIVATE UNIVERSITIES
AL ANSAR UNIVERSITY MAIDUGURI BORNO STATE,BORNO,PRIVATE UNIVERSITIES
KWARARAFA UNIVERSITY WUKARI TARABA STATE,TARABA,PRIVATE UNIVERSITIES
EVANGEL UNIVERSITY AKAEZE EBONYI STATE,EBONYI,PRIVATE UNIVERSITIES
AL QALAM UNIVERSITY KATSINA KATSINA STATE,KATSINA,PRIVATE UNIVERSITIES
